Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2024-100001,2024-08-02,2024-08-08,First Class,WM-81810,William Martin,Corporate,United States,Philadelphia,Pennsylvania,19104.0,East,TEC-CO-10000363,Technology,Copiers,Copiers Model Lite 614,2978.45,9,0.7,-2978.45
2,CA-2023-100002,2022-08-27,2022-08-29,Standard Class,RT-98686,Ryan Taylor,Home Office,United States,Boston,Massachusetts,2108.0, East ,TEC-PH-10000294,Technology,Phones,Phones Model Ultra 636,86.73,7,0.7,-86.73
3,CA-2023-100002,2022-08-27,2022-08-29,Standard Class,RT-98686,Ryan Taylor,Home Office,United States,Boston,Massachusetts,2108.0, East ,TEC-AC-10000314,Technology,Accessories,Accessories Model Lite 903,127.14,4,0.8,-254.27
4,CA-2021-100003,2022-05-03,2022-05-07,First Class,RG-23970,Robert Gute,Corporate,United States,Columbus,Ohio,43215.0,East,TEC-AC-10000326,Technology,Accessories,Accessories Model Pro 144,184.57,2,0.8,-369.13
5,CA-2023-100004,2022-03-06,2022-03-08,Standard Class,RJ-69878,Robert Johnson,Corporate,United States,Miami,Florida,33133.0,south,OFF-AR-10000132,Office Supplies,Art,Art Model Plus 832,434.66,2,0.0,173.86
6,CA-2023-100004,2022-03-06,2022-03-08,Standard Class,RJ-69878,Robert Johnson,Corporate,United States,Miami,Florida,33133.0,south,OFF-LA-10000086,Office Supplies,Labels,Labels Model Pro 200,941.51,7,0.4,-0.0
7,CA-2024-100005,2024-03-29,2024-04-02,Second Class,CG-42092,Claire Gute,Corporate,United States,Miami,Florida,33133.0,South,OFF-EN-10000232,Office Supplies,Envelopes,Envelopes Model Pro 201,633.66,2,0.0,253.46
8,CA-2023-100006,2021-12-15,2021-12-21,Second Class,JH-93719,John Harris,Corporate,United States,Los Angeles,California,90036.0,West,FUR-CH-10000039,Furniture,Chairs,Chairs Model Pro 864,4498.11,9,0.0,1799.24
9,CA-2023-100006,2021-12-15,2021-12-21,Second Class,JH-93719,John Harris,Corporate,United States,Los Angeles,California,90036.0,West,OFF-FA-10000248,Office Supplies,Fasteners,Fasteners Model Standard 191,257.65,1,0.3,36.81
10,CA-2021-100007,2021-07-27,2021-07-31,Second Class,MT-15683,Michael Taylor,Home Office,United States,Burlington,North Carolina,,South,TEC-CO-10000357,Technology,Copiers,Copiers Model Plus 135,9018.63,9,0.5,-1803.73
11,CA-2021-100008,2023-03-16,2023-03-20,Same Day,WG-49829,William Gute,Corporate,United States,New York City,New York,10024.0,East,FUR-BO-10000028,Furniture,Bookcases,Bookcases Model Standard 670,1618.2,6,0.0,647.28
12,CA-2021-100008,2023-03-16,2023-03-20,Same Day,WG-49829,William Gute,Corporate,United States,New York City,New York,10024.0,East,TEC-MA-10000339,Technology,Machines,Machines Model Standard 223,20937.96,8,0.1,6979.32
13,CA-2024-100009,2021-08-25,2021-08-29,Same Day,RD-12733,Ryan Davis,Corporate,United States,Chicago,Illinois,60611.0,Central,OFF-FA-10000251,Office Supplies,Fasteners,Fasteners Model Plus 756,2482.7,5,0.0,993.08
14,CA-2023-100010,2022-01-18,2022-01-22,First Class,AH-91490,Ashley Harris,Home Office,United States,Milwaukee,Wisconsin,53202.0,Central,OFF-FA-10000239,Office Supplies,Fasteners,Fasteners Model Plus 153,918.95,5,0.1,306.32
15,CA-2023-100010,2022-01-18,2022-01-22,First Class,AH-91490,Ashley Harris,Home Office,United States,Milwaukee,Wisconsin,53202.0,Central,FUR-FU-10000078,Furniture,Furnishings,Furnishings Model Plus 970,328.2,2,0.0,131.28
16,CA-2021-100011,2023-03-04,2023-03-10,Same Day,AM-23446,Amanda Martin,Home Office,United States,Burlington,North Carolina,,South,TEC-MA-10000352,Technology,Machines,Machines Model Standard 928,6607.68,8,0.7,-6607.68
17,CA-2021-100012,2023-10-26,2023-10-30,Second Class,AF-66333,Amanda Foster,Consumer,United States,Portland,Oregon,97201.0,West,OFF-EN-10000230,Office Supplies,Envelopes,Envelopes Model Lite 972,743.46,3,0.0,297.38
18,CA-2021-100012,2023-10-26,2023-10-30,Second Class,AF-66333,Amanda Foster,Consumer,United States,Portland,Oregon,97201.0,West,FUR-TA-10000065,Furniture,Tables,Tables Model Lite 358,766.53,1,0.3,109.51
19,CA-2023-100013,2022-10-17,2022-10-23,Standard Class,ES-17665,Emily Smith,Home Office,United States,Philadelphia,Pennsylvania,19104.0,East,OFF-AP-10000199,Office Supplies,Appliances,Appliances Model Standard 204,2334.97,9,0.3,333.57
20,CA-2024-100014,2021-08-19,2021-08-23,Second Class,AM-27486,Ashley Miller,Consumer,United States,Miami,Florida,33133.0,South,TEC-PH-10000302,Technology,Phones,Phones Model Pro 350,65.06,2,0.0,26.02
21,CA-2024-100014,2021-08-19,2021-08-23,Second Class,AM-27486,Ashley Miller,Consumer,United States,Miami,Florida,33133.0,South,OFF-BI-10000147,Office Supplies,Binders,Binders Model Standard 574,2796.84,9,0.2,699.21
22,CA-2021-100015,2021-12-19,2021-12-21,Second Class,RF-51553,Ryan Foster,Home Office,United States,Atlanta,Georgia,30301.0,South,TEC-PH-10000312,Technology,Phones,Phones Model Ultra 435,366.31,7,0.0,146.52
23,CA-2024-100016,2022-07-05,2022-07-11,Standard Class,SJ-49251,Sarah Jackson,Consumer,United States,New York City,New York,10024.0,East,OFF-BI-10000156,Office Supplies,Binders,Binders Model Ultra 168,667.8,5,0.15,196.41
24,CA-2024-100016,2022-07-05,2022-07-11,Standard Class,SJ-49251,Sarah Jackson,Consumer,United States,New York City,New York,10024.0,East,TEC-MA-10000351,Technology,Machines,Machines Model Pro 122,1645.47,2,0.1,548.49
25,CA-2023-100017,2023-05-04,2023-05-08,Standard Class,JG-56105,James Gute,Corporate,United States,Richmond,Virginia,23219.0,South,OFF-EN-10000227,Office Supplies,Envelopes,Envelopes Model Standard 944,318.67,4,0.3,45.53
26,CA-2022-100018,2021-05-15,2021-05-19,Same Day,DT-76768,David Thomas,Corporate,United States,Chicago,Illinois,60611.0,Central,OFF-FA-10000269,Office Supplies,Fasteners,Fasteners Model Pro 640,445.48,1,0.0,178.19
27,CA-2022-100018,2021-05-15,2021-05-19,Same Day,DT-76768,David Thomas,Corporate,United States,Chicago,Illinois,60611.0,Central,FUR-BO-10000030,Furniture,Bookcases,Bookcases Model Ultra 762,194.96,4,0.0,77.98
28,CA-2023-100019,2023-08-09,2023-08-13,Standard Class,AW-85821,Ashley White,Home Office,United States,Columbus,Ohio,43215.0,East,FUR-BO-10000016,Furniture,Bookcases,Bookcases Model Plus 776,849.31,4,0.2,212.33
29,CA-2023-100020,2021-12-01,2021-12-07,First Class,AT-38627,Ashley Thomas,Consumer,United States,Richmond,Virginia,23219.0,south,TEC-MA-10000353,Technology,Machines,Machines Model Ultra 225,2717.6,2,0.15,799.29
30,CA-2023-100020,2021-12-01,2021-12-07,First Class,AT-38627,Ashley Thomas,Consumer,United States,Richmond,Virginia,23219.0,south,OFF-ST-10000110,Office Supplies,Storage,Storage Model Standard 382,173.07,4,0.8,-346.15
31,CA-2021-100021,2023-08-29,2023-09-04,Second Class,SW-77861,Sarah Wilson,Corporate,United States,Miami,Florida,33133.0,South,FUR-BO-10000005,Furniture,Bookcases,Bookcases Model Standard 729,1310.26,4,0.15,385.37
32,CA-2024-100022,2022-12-16,2022-12-20,Second Class,AH-97562,Amanda Harris,Corporate,United States,Milwaukee,Wisconsin,53202.0,Central,OFF-BI-10000155,Office Supplies,Binders,Binders Model Standard 839,948.81,9,0.7,-948.8
33,CA-2024-100022,2022-12-16,2022-12-20,Second Class,AH-97562,Amanda Harris,Corporate,United States,Milwaukee,Wisconsin,53202.0,Central,OFF-FA-10000262,Office Supplies,Fasteners,Fasteners Model Lite 391,1175.1,6,0.5,-235.02
34,CA-2024-100023,2021-05-11,2021-05-15,First Class,EW-19564,Emily Wilson,Home Office,United States,Chicago,Illinois,60611.0,Central,OFF-BI-10000167,Office Supplies,Binders,Binders Model Pro 691,254.41,5,0.15,74.83
35,CA-2022-100024,11/26/2023,2023-11-30,Standard Class,MP-13396,Michael Powers,Home Office,United States,Houston,Texas,77002.0,Central,OFF-PA-10000207,Office Supplies,Paper,Paper Model Plus 933,133.68,6,0.8,-267.36
36,CA-2022-100024,11/26/2023,2023-11-30,Standard Class,MP-13396,Michael Powers,Home Office,United States,Houston,Texas,77002.0,Central,OFF-FA-10000255,Office Supplies,Fasteners,Fasteners Model Plus 521,1325.49,5,0.15,389.85
37,CA-2023-100025,2022-04-01,2022-04-05,Same Day,JF-89463,James Foster,Home Office,United States,Seattle,Washington,98109.0,West,OFF-AP-10000184,Office Supplies,Appliances,Appliances Model Standard 734,277.47,9,0.15,81.61
38,CA-2021-100026,2023-08-23,2023-08-25,First Class,JT-81211,James Thomas,Home Office,United States,Columbus,Ohio,43215.0,East,OFF-SU-10000287,Office Supplies,Supplies,Supplies Model Lite 156,96.93,3,0.8,-193.86
39,CA-2021-100026,2023-08-23,2023-08-25,First Class,JT-81211,James Thomas,Home Office,United States,Columbus,Ohio,43215.0,East,OFF-ST-10000114,Office Supplies,Storage,Storage Model Standard 209,412.51,6,0.1,137.51
40,CA-2023-100027,2024-04-14,2024-04-16,Standard Class,RT-64747,Robert Thomas,Corporate,United States,Detroit,Michigan,48201.0,Central,FUR-BO-10000028,Furniture,Bookcases,Bookcases Model Standard 670,323.64,2,0.4,0.0
41,CA-2024-100028,2021-04-21,2021-04-27,Second Class,CP-44237,Claire Powers,Consumer,United States,Richmond,Virginia,23219.0,South,OFF-ST-10000103,Office Supplies,Storage,Storage Model Lite 712,1656.35,6,0.3,236.62
42,CA-2024-100028,2021-04-21,2021-04-27,Second Class,CP-44237,Claire Powers,Consumer,United States,Richmond,Virginia,23219.0,South,OFF-EN-10000235,Office Supplies,Envelopes,Envelopes Model Standard 307,1194.94,3,0.2,298.74
43,CA-2023-100029,2024-07-16,2024-07-22,First Class,CT-85598,Claire Thomas,Corporate,United States,Portland,Oregon,97201.0,West,FUR-BO-10000030,Furniture,Bookcases,Bookcases Model Ultra 762,29.24,1,0.4,-0.0
